order_item_id,order_id,order_date,order_status,item_status,user_id,country,city,product_id,product_name,category,brand,sale_price
19206,13163,2025-01-01,Shipped,Shipped,10571,China,Chaozhou,4478,KUT from the Kloth Women's Natalie Bootcut,Jeans,KUT from the Kloth,61.900001525878906
158452,108858,2025-01-01,Cancelled,Cancelled,87181,Brasil,Curitiba,17065,Tri-Mountain Men's Big And Tall Stylish Twill Dress Shirt. 810,Tops & Tees,Tri-Mountain,42.9900016784668
115936,79608,2025-01-01,Cancelled,Cancelled,63645,China,Wenzhou,11408,Maxi Slip Vintage style 32 half slip textured,Intimates,Ilusion,41.979999542236328
23375,16049,2025-01-01,Shipped,Shipped,12837,Australia,Melbourne,25174,10-Pack Hanes Over-the-Calf Tube 180/10 White 6-12,Socks,Hanes,21.0
3151,2166,2025-01-01,Processing,Processing,1705,China,Hefei,1779,Live for the Ride Baby Girl Zip up ragland,Fashion Hoodies & Sweatshirts,Live for the Ride,45.0
45894,31524,2025-01-01,Cancelled,Cancelled,25140,China,Beijing,10722,Fruit of the Loom Women's 6-Pack Heather Briefs,Intimates,Fruit of the Loom,11.899999618530272
122003,83750,2025-01-01,Shipped,Shipped,66941,China,Hengyang,16605,Run Away - Minecraft T-shirt,Tops & Tees,Minecraft,20.430000305175781
98319,67552,2025-01-01,Complete,Complete,54006,Brasil,Açailândia,19133,Columbia Men's Bridge Too Far 1/2 Zip Sweater,Sweaters,Columbia,84.949996948242173
69442,47686,2025-01-01,Complete,Complete,38063,Germany,Bramsche,9493,12 Pairs Ladies Winter Solid Plain Blank Toe Warm Low Cut Ankle Short Socks Set,Socks & Hosiery,SK Hat shop,24.950000762939453
69443,47686,2025-01-01,Complete,Complete,38063,Germany,Bramsche,2749,Capezio Women's Capezio Women'S SupplexÂ® Capri Legging,Active,Capezio,27.069999694824215
158520,108906,2025-01-01,Complete,Complete,87224,France,Apt,647,American Apparel Unisex Sheer Jersey Short Sleeve Deep V-Neck,Tops & Tees,American Apparel,24.0
158521,108906,2025-01-01,Complete,Complete,87224,France,Apt,8444,Charles River Apparel Women's Breathable Hooded Rain Jacket. 5099,Outerwear & Coats,Charles River Apparel,47.9900016784668
158522,108906,2025-01-01,Complete,Complete,87224,France,Apt,5326,Pendleton Women's Jessica Ankle Pant,Pants & Capris,Pendleton,25.0
95251,65466,2025-01-01,Shipped,Shipped,52306,China,Baotou,16294,Quiksilver Men's Mountain Wave Tee,Tops & Tees,Quiksilver,20.0
75177,51690,2025-01-01,Processing,Processing,41296,United States,West Des Moines,7058,Blank Nyc Women's Deep Tissue Shorts,Shorts,[BLANKNYC],32.080001831054688
64343,44166,2025-01-01,Complete,Complete,35256,South Korea,Gyeongsan City,14562,BellaBand Women's Lace Bellaband,Maternity,BellaBand,32.0
